questionId,currentQuestion,slug,category,subcategory,detectedIssue,severity,recommendedAction,rewriteSuggestion,priorityReason
"cmtli6qyj084dff54ogd8jpg9","What's your process for paid-search-budget in a production system?","what-s-your-process-for-paid-search-budget-in-a-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for paid search budget in a production system?",""
"cmtli6qtv084bff54c70n9pfs","How do you decide when paid-search-budget is the right call?","how-do-you-decide-when-paid-search-budget-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when paid search budget is the right call?",""
"cmtli6qpc0849ff54f7w7astt","What trade-offs matter most when dealing with paid-search-budget?","what-trade-offs-matter-most-when-dealing-with-paid-search-budget","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What trade offs matter most when dealing with paid search budget?",""
"cmtli6qkl0847ff54457rtvba","Walk me through your strategy for paid-search-budget. for a small team","walk-me-through-your-strategy-for-paid-search-budget-for-a-small-team","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","Walk me through your strategy for paid search budget. for a small team",""
"cmtli6qg20845ff54iy6e6zmu","How would you approach paid-search-budget?","how-would-you-approach-paid-search-budget","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle paid search budget in a real project?",""
"cmtli6qbc0843ff54tdhv4drm","What would you prioritize when organic-social-growth? with a focus on accessibility","what-would-you-prioritize-when-organic-social-growth-with-a-focus-on-accessibility","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when organic social growth? with a focus on accessibility",""
"cmtli6q6q0841ff54cqu2hbb5","Talk me through how you'd handle organic-social-growth.","talk-me-through-how-you-d-handle-organic-social-growth","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle organic social growth. in a real situation?",""
"cmtli6q23083zff54cgmfa1ia","How would you design a solution for organic-social-growth? with a focus on accessibility","how-would-you-design-a-solution-for-organic-social-growth-with-a-focus-on-accessibility","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for organic social growth? with a focus on accessibility",""
"cmtli6px1083xff54kfqvwhsl","What's your approach to handling organic-social-growth?","what-s-your-approach-to-handling-organic-social-growth","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling organic social growth?",""
"cmtli6psf083vff547rlfj35y","How would you evaluate whether organic-social-growth is working well?","how-would-you-evaluate-whether-organic-social-growth-is-working-well","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you evaluate whether organic social growth is working well?",""
"cmtli6pnr083tff546frv8iy1","What common mistakes have you seen with organic-social-growth? under a tight deadline","what-common-mistakes-have-you-seen-with-organic-social-growth-under-a-tight-deadline","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What common mistakes have you seen with organic social growth? under a tight deadline",""
"cmtli6pim083rff54nt4btqcs","How would you explain organic-social-growth to a teammate who's new to it? for a high-risk release","how-would-you-explain-organic-social-growth-to-a-teammate-who-s-new-to-it-for-a-high-risk-release","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you explain organic social growth to a teammate who's new to it? for a high risk release",""
"cmtli6pe5083pff54250kbsuf","What's your process for organic-social-growth in a production system?","what-s-your-process-for-organic-social-growth-in-a-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for organic social growth in a production system?",""
"cmtli6p9h083nff54dsrgpuuu","How do you decide when organic-social-growth is the right call?","how-do-you-decide-when-organic-social-growth-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when organic social growth is the right call?",""
"cmtli6p4x083lff54y1331nae","What trade-offs matter most when dealing with organic-social-growth?","what-trade-offs-matter-most-when-dealing-with-organic-social-growth","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What trade offs matter most when dealing with organic social growth?",""
"cmtli6p0g083jff54r5wafab7","Walk me through your strategy for organic-social-growth.","walk-me-through-your-strategy-for-organic-social-growth","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","Walk me through your strategy for organic social growth.",""
"cmtli6ovu083hff54h3xr9xu3","How would you approach organic-social-growth?","how-would-you-approach-organic-social-growth","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle organic social growth in a real project?",""
"cmtli6oqr083fff54hl6fhdd5","What would you prioritize when cro-testing? for a large‑scale production system","what-would-you-prioritize-when-cro-testing-for-a-large-scale-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when cro testing? for a large‑scale production system",""
"cmtli6om0083dff54mk16f3tl","Talk me through how you'd handle cro-testing.","talk-me-through-how-you-d-handle-cro-testing","Digital Marketing","Digital Marketing","near duplicate (QCA-00557); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6oh9083bff549ubgseo3","How would you design a solution for cro-testing?","how-would-you-design-a-solution-for-cro-testing","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for cro testing?",""
"cmtli6ocn0839ff54kq2o0417","What's your approach to handling cro-testing? for a high-risk release","what-s-your-approach-to-handling-cro-testing-for-a-high-risk-release","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling cro testing? for a high risk release",""
"cmtli6o820837ff54v61bhmfg","How would you evaluate whether cro-testing is working well? when requirements are unclear","how-would-you-evaluate-whether-cro-testing-is-working-well-when-requirements-are-unclear","Digital Marketing","Digital Marketing","near duplicate (QCA-00147); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6o3e0835ff54hrowj9xq","What common mistakes have you seen with cro-testing?","what-common-mistakes-have-you-seen-with-cro-testing","Digital Marketing","Digital Marketing","near duplicate (QCA-00937); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6nyf0833ff54cp0i79l1","How would you explain cro-testing to a teammate who's new to it?","how-would-you-explain-cro-testing-to-a-teammate-who-s-new-to-it","Digital Marketing","Digital Marketing","near duplicate (QCA-00149); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6ntt0831ff54wmryl00t","What's your process for cro-testing in a production system?","what-s-your-process-for-cro-testing-in-a-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for cro testing in a production system?",""
"cmtli6npc082zff547ko25tac","How do you decide when cro-testing is the right call? for a small team","how-do-you-decide-when-cro-testing-is-the-right-call-for-a-small-team","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when cro testing is the right call? for a small team",""
"cmtli6nk0082xff548apwz5og","What trade-offs matter most when dealing with cro-testing?","what-trade-offs-matter-most-when-dealing-with-cro-testing","Digital Marketing","Digital Marketing","near duplicate (QCA-01374); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6nfe082vff54mwmrikxu","Walk me through your strategy for cro-testing.","walk-me-through-your-strategy-for-cro-testing","Digital Marketing","Digital Marketing","near duplicate (QCA-00559); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6nal082tff54efb6yt9k","How would you approach cro-testing? with strict security and compliance requirements","how-would-you-approach-cro-testing-with-strict-security-and-compliance-requirements","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you approach cro testing? with strict security and compliance requirements",""
"cmtli6n5y082rff54zvq3is9h","What would you prioritize when email-deliverability? when scalability is a critical concern","what-would-you-prioritize-when-email-deliverability-when-scalability-is-a-critical-concern","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when email deliverability? when scalability is a critical concern",""
"cmtli6n1e082pff548sa1cq8j","Talk me through how you'd handle email-deliverability.","talk-me-through-how-you-d-handle-email-deliverability","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle email deliverability. in a real situation?",""
"cmtli6mwc082nff54w790od7d","How would you design a solution for email-deliverability? with strict security and compliance requirements","how-would-you-design-a-solution-for-email-deliverability-with-strict-security-and-compliance-requirements","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for email deliverability? with strict security and compliance requirements",""
"cmtli6mru082lff54kglk4ayy","What's your approach to handling email-deliverability?","what-s-your-approach-to-handling-email-deliverability","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling email deliverability?",""
"cmtli6mn1082jff541zsvcocc","How would you evaluate whether email-deliverability is working well?","how-would-you-evaluate-whether-email-deliverability-is-working-well","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you evaluate whether email deliverability is working well?",""
"cmtli6mim082hff54os7kyyg3","What common mistakes have you seen with email-deliverability?","what-common-mistakes-have-you-seen-with-email-deliverability","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What common mistakes have you seen with email deliverability?",""
"cmtli6mdu082fff54b6a75hji","How would you explain email-deliverability to a teammate who's new to it?","how-would-you-explain-email-deliverability-to-a-teammate-who-s-new-to-it","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you explain email deliverability to a teammate who's new to it?",""
"cmtli6m9a082dff5466yyvksn","What's your process for email-deliverability in a production system?","what-s-your-process-for-email-deliverability-in-a-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for email deliverability in a production system?",""
"cmtli6m4a082bff54jvdxehdv","How do you decide when email-deliverability is the right call?","how-do-you-decide-when-email-deliverability-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when email deliverability is the right call?",""
"cmtli6lyl0829ff54rhmj1m2e","What trade-offs matter most when dealing with email-deliverability?","what-trade-offs-matter-most-when-dealing-with-email-deliverability","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What trade offs matter most when dealing with email deliverability?",""
"cmtli6ltg0827ff54hliklsxc","Walk me through your strategy for email-deliverability. after measuring an unexpected result","walk-me-through-your-strategy-for-email-deliverability-after-measuring-an-unexpected-result","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","Walk me through your strategy for email deliverability. after measuring an unexpected result",""
"cmtli6lox0825ff54y258ws4i","How would you approach email-deliverability?","how-would-you-approach-email-deliverability","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle email deliverability in a real project?",""
"cmtli6lk10823ff54y793lv6g","What would you prioritize when influencer-vs-paid?","what-would-you-prioritize-when-influencer-vs-paid","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when working on influencer vs paid?",""
"cmtli6lfk0821ff542cvwdg9u","Talk me through how you'd handle influencer-vs-paid.","talk-me-through-how-you-d-handle-influencer-vs-paid","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle influencer vs paid. in a real situation?",""
"cmtli6lag081zff54cnjltmwu","How would you design a solution for influencer-vs-paid?","how-would-you-design-a-solution-for-influencer-vs-paid","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for influencer vs paid?",""
"cmtli6l5p081xff54c5m1dygz","What's your approach to handling influencer-vs-paid? when a previous solution failed","what-s-your-approach-to-handling-influencer-vs-paid-when-a-previous-solution-failed","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling influencer vs paid? when a previous solution failed",""
"cmtli6l0x081vff54ppztrtoe","How would you evaluate whether influencer-vs-paid is working well?","how-would-you-evaluate-whether-influencer-vs-paid-is-working-well","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you evaluate whether influencer vs paid is working well?",""
"cmtli6kwb081tff54pdlgse80","What common mistakes have you seen with influencer-vs-paid?","what-common-mistakes-have-you-seen-with-influencer-vs-paid","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What common mistakes have you seen with influencer vs paid?",""
"cmtli6kro081rff54tw973pt7","How would you explain influencer-vs-paid to a teammate who's new to it? under a tight deadline","how-would-you-explain-influencer-vs-paid-to-a-teammate-who-s-new-to-it-under-a-tight-deadline","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you explain influencer vs paid to a teammate who's new to it? under a tight deadline",""
"cmtli6kn2081pff5402pomlqp","What's your process for influencer-vs-paid in a production system? for a high-risk release","what-s-your-process-for-influencer-vs-paid-in-a-production-system-for-a-high-risk-release","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for influencer vs paid in a production system? for a high risk release",""
"cmtli6kif081nff54oli31i7r","How do you decide when influencer-vs-paid is the right call?","how-do-you-decide-when-influencer-vs-paid-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when influencer vs paid is the right call?",""
"cmtli6kdv081lff541ottkavm","What trade-offs matter most when dealing with influencer-vs-paid?","what-trade-offs-matter-most-when-dealing-with-influencer-vs-paid","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What trade offs matter most when dealing with influencer vs paid?",""
"cmtli6k9a081jff541t6cl052","Walk me through your strategy for influencer-vs-paid.","walk-me-through-your-strategy-for-influencer-vs-paid","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","Walk me through your strategy for influencer vs paid.",""
"cmtli6k4m081hff54pcgc1alg","How would you approach influencer-vs-paid?","how-would-you-approach-influencer-vs-paid","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle influencer vs paid in a real project?",""
"cmtli6k03081fff54mjgkl7og","What would you prioritize when retargeting?","what-would-you-prioritize-when-retargeting","Digital Marketing","Digital Marketing","repeated question template","MEDIUM","REWRITE","What would you prioritize when working on retargeting?",""
"cmtli6iul080xff5472aq757b","What trade-offs matter most when dealing with retargeting?","what-trade-offs-matter-most-when-dealing-with-retargeting","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What trade offs matter most when dealing with retargeting?",""
"cmtli6il1080tff54458g273l","How would you approach retargeting?","how-would-you-approach-retargeting","Digital Marketing","Digital Marketing","repeated question template","MEDIUM","REWRITE","How would you handle retargeting in a real project?",""
"cmtli6ig8080rff542f0rveqj","What would you prioritize when seo-gap-analysis?","what-would-you-prioritize-when-seo-gap-analysis","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when working on seo gap analysis?",""
"cmtli6ibd080pff54c9bcgxyt","Talk me through how you'd handle seo-gap-analysis. after measuring an unexpected result","talk-me-through-how-you-d-handle-seo-gap-analysis-after-measuring-an-unexpected-result","Digital Marketing","Digital Marketing","near duplicate (QCA-00561); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6i49080nff54w5r60kgn","How would you design a solution for seo-gap-analysis?","how-would-you-design-a-solution-for-seo-gap-analysis","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for seo gap analysis?",""
"cmtli6hzr080lff54r5dcgc8e","What's your approach to handling seo-gap-analysis? for a small team","what-s-your-approach-to-handling-seo-gap-analysis-for-a-small-team","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling seo gap analysis? for a small team",""
"cmtli6hv7080jff54qz1mjx6d","How would you evaluate whether seo-gap-analysis is working well? when explaining your decision to a non-specialist","how-would-you-evaluate-whether-seo-gap-analysis-is-working-well-when-explaining-your-decision-to-a-non-specialist","Digital Marketing","Digital Marketing","near duplicate (QCA-00151); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6hql080hff5411k0ksbc","What common mistakes have you seen with seo-gap-analysis? with strict security and compliance requirements","what-common-mistakes-have-you-seen-with-seo-gap-analysis-with-strict-security-and-compliance-requirements","Digital Marketing","Digital Marketing","near duplicate (QCA-00939); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6hio080fff54a3qysq0h","How would you explain seo-gap-analysis to a teammate who's new to it?","how-would-you-explain-seo-gap-analysis-to-a-teammate-who-s-new-to-it","Digital Marketing","Digital Marketing","near duplicate (QCA-00152); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6hdx080dff54si4odjjo","What's your process for seo-gap-analysis in a production system? for a high-risk release","what-s-your-process-for-seo-gap-analysis-in-a-production-system-for-a-high-risk-release","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for seo gap analysis in a production system? for a high risk release",""
"cmtli6h99080bff54uyozu44z","How do you decide when seo-gap-analysis is the right call?","how-do-you-decide-when-seo-gap-analysis-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when seo gap analysis is the right call?",""
"cmtli6h4o0809ff54ji1cb70d","What trade-offs matter most when dealing with seo-gap-analysis?","what-trade-offs-matter-most-when-dealing-with-seo-gap-analysis","Digital Marketing","Digital Marketing","near duplicate (QCA-01375); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6gzz0807ff54z7pqrfcg","Walk me through your strategy for seo-gap-analysis.","walk-me-through-your-strategy-for-seo-gap-analysis","Digital Marketing","Digital Marketing","near duplicate (QCA-00562); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6gvf0805ff540edbrggd","How would you approach seo-gap-analysis?","how-would-you-approach-seo-gap-analysis","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle seo gap analysis in a real project?",""
"cmtli6gqs0803ff54xs5uys2z","What would you prioritize when attribution-modeling? when a previous solution failed","what-would-you-prioritize-when-attribution-modeling-when-a-previous-solution-failed","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when attribution modeling? when a previous solution failed",""
"cmtli6gm30801ff54ixm3qhvi","Talk me through how you'd handle attribution-modeling.","talk-me-through-how-you-d-handle-attribution-modeling","Digital Marketing","Digital Marketing","near duplicate (QCA-00563); repeated question template; slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6ghj07zzff54ad0di35u","How would you design a solution for attribution-modeling? when requirements are unclear","how-would-you-design-a-solution-for-attribution-modeling-when-requirements-are-unclear","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for attribution modeling? when requirements are unclear",""
"cmtli6gct07zxff54nse8raw7","What's your approach to handling attribution-modeling?","what-s-your-approach-to-handling-attribution-modeling","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling attribution modeling?",""
"cmtli6g8407zvff547ry3yaag","How would you evaluate whether attribution-modeling is working well?","how-would-you-evaluate-whether-attribution-modeling-is-working-well","Digital Marketing","Digital Marketing","near duplicate (QCA-00153); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6g3k07ztff54lgzsflyx","What common mistakes have you seen with attribution-modeling? when scalability is a critical concern","what-common-mistakes-have-you-seen-with-attribution-modeling-when-scalability-is-a-critical-concern","Digital Marketing","Digital Marketing","near duplicate (QCA-00942); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6fym07zrff54mnxu3ch4","How would you explain attribution-modeling to a teammate who's new to it?","how-would-you-explain-attribution-modeling-to-a-teammate-who-s-new-to-it","Digital Marketing","Digital Marketing","near duplicate (QCA-00154); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6ftr07zpff548tmhy4yo","What's your process for attribution-modeling in a production system?","what-s-your-process-for-attribution-modeling-in-a-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for attribution modeling in a production system?",""
"cmtli6fp707znff541dmfcy65","How do you decide when attribution-modeling is the right call?","how-do-you-decide-when-attribution-modeling-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when attribution modeling is the right call?",""
"cmtli6fkl07zlff543m5pdhkh","What trade-offs matter most when dealing with attribution-modeling?","what-trade-offs-matter-most-when-dealing-with-attribution-modeling","Digital Marketing","Digital Marketing","near duplicate (QCA-01376); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6fg207zjff54ay1v1srj","Walk me through your strategy for attribution-modeling.","walk-me-through-your-strategy-for-attribution-modeling","Digital Marketing","Digital Marketing","near duplicate (QCA-00564); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6fbd07zhff54kvjhx68g","How would you approach attribution-modeling?","how-would-you-approach-attribution-modeling","Digital Marketing","Digital Marketing","repeated question template; slug-like placeholder topic","MEDIUM","REWRITE","How would you handle attribution modeling in a real project?",""
"cmtli6f6t07zfff54u4sp9gw8","What would you prioritize when landing-page-optimization? when a previous solution failed","what-would-you-prioritize-when-landing-page-optimization-when-a-previous-solution-failed","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when landing page optimization? when a previous solution failed",""
"cmtli6f2107zdff544mdf48vg","Talk me through how you'd handle landing-page-optimization.","talk-me-through-how-you-d-handle-landing-page-optimization","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you handle landing page optimization. in a real situation?",""
"cmtli6exj07zbff54ax8unksn","How would you design a solution for landing-page-optimization?","how-would-you-design-a-solution-for-landing-page-optimization","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for landing page optimization?",""
"cmtli6esr07z9ff54jfwl82gc","What's your approach to handling landing-page-optimization?","what-s-your-approach-to-handling-landing-page-optimization","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling landing page optimization?",""
"cmtli6eo707z7ff54fgzsku9t","How would you evaluate whether landing-page-optimization is working well? when requirements are unclear","how-would-you-evaluate-whether-landing-page-optimization-is-working-well-when-requirements-are-unclear","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you evaluate whether landing page optimization is working well? when requirements are unclear",""
"cmtli6ejk07z5ff54rzpr2rgu","What common mistakes have you seen with landing-page-optimization? with strict security and compliance requirements","what-common-mistakes-have-you-seen-with-landing-page-optimization-with-strict-security-and-compliance-requirements","Digital Marketing","Digital Marketing","near duplicate (QCA-00944); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6eey07z3ff54akywa4xh","How would you explain landing-page-optimization to a teammate who's new to it?","how-would-you-explain-landing-page-optimization-to-a-teammate-who-s-new-to-it","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you explain landing page optimization to a teammate who's new to it?",""
"cmtli6e9t07z1ff54u3qzkpwp","What's your process for landing-page-optimization in a production system? when explaining your decision to a non-specialist","what-s-your-process-for-landing-page-optimization-in-a-production-system-when-explaining-your-decision-to-a-non-specialist","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for landing page optimization in a production system? when explaining your decision to a non specialist",""
"cmtli6e5607yzff54zhxlzdwa","How do you decide when landing-page-optimization is the right call?","how-do-you-decide-when-landing-page-optimization-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when landing page optimization is the right call?",""
"cmtli6e0j07yxff540zht39qa","What trade-offs matter most when dealing with landing-page-optimization? for a large‑scale production system","what-trade-offs-matter-most-when-dealing-with-landing-page-optimization-for-a-large-scale-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What trade offs matter most when dealing with landing page optimization? for a large‑scale production system",""
"cmtli6dvy07yvff54qkroxx1s","Walk me through your strategy for landing-page-optimization.","walk-me-through-your-strategy-for-landing-page-optimization","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","Walk me through your strategy for landing page optimization.",""
"cmtli6dra07ytff54v2qh42sv","How would you approach landing-page-optimization? with strict security and compliance requirements","how-would-you-approach-landing-page-optimization-with-strict-security-and-compliance-requirements","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you approach landing page optimization? with strict security and compliance requirements",""
"cmtli6dmr07yrff54sd9t2kok","What would you prioritize when email-automation?","what-would-you-prioritize-when-email-automation","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when working on email automation?",""
"cmtli6di907ypff548idocm99","Talk me through how you'd handle email-automation. when a previous solution failed","talk-me-through-how-you-d-handle-email-automation-when-a-previous-solution-failed","Digital Marketing","Digital Marketing","near duplicate (QCA-00565); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6dct07ynff54yxrnfxdy","How would you design a solution for email-automation?","how-would-you-design-a-solution-for-email-automation","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you design a solution for email automation?",""
"cmtli6d8207ylff54f5czgds8","What's your approach to handling email-automation? after measuring an unexpected result","what-s-your-approach-to-handling-email-automation-after-measuring-an-unexpected-result","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your approach to handling email automation? after measuring an unexpected result",""
"cmtli6d3i07yjff54ighi5yb6","How would you evaluate whether email-automation is working well? for a high-risk release","how-would-you-evaluate-whether-email-automation-is-working-well-for-a-high-risk-release","Digital Marketing","Digital Marketing","near duplicate (QCA-00155); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6cyt07yhff54w6vk9edb","What common mistakes have you seen with email-automation? for a large‑scale production system","what-common-mistakes-have-you-seen-with-email-automation-for-a-large-scale-production-system","Digital Marketing","Digital Marketing","near duplicate (QCA-00947); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6cu407yfff54u1kzw92g","How would you explain email-automation to a teammate who's new to it?","how-would-you-explain-email-automation-to-a-teammate-who-s-new-to-it","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you explain email automation to a teammate who's new to it?",""
"cmtli6cpi07ydff54764mw4u1","What's your process for email-automation in a production system?","what-s-your-process-for-email-automation-in-a-production-system","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What's your process for email automation in a production system?",""
"cmtli6cku07ybff54goi00mnb","How do you decide when email-automation is the right call?","how-do-you-decide-when-email-automation-is-the-right-call","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How do you decide when email automation is the right call?",""
"cmtli6cg607y9ff54h62l4vfr","What trade-offs matter most when dealing with email-automation?","what-trade-offs-matter-most-when-dealing-with-email-automation","Digital Marketing","Digital Marketing","near duplicate (QCA-01377); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6cbk07y7ff54r9xzheez","Walk me through your strategy for email-automation. when scalability is a critical concern","walk-me-through-your-strategy-for-email-automation-when-scalability-is-a-critical-concern","Digital Marketing","Digital Marketing","near duplicate (QCA-00566); slug-like placeholder topic","MEDIUM","MERGE","",""
"cmtli6c6s07y5ff54uv4pukms","How would you approach email-automation? with a focus on accessibility","how-would-you-approach-email-automation-with-a-focus-on-accessibility","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","How would you approach email automation? with a focus on accessibility",""
"cmtli6c2707y3ff544y38dvvf","What would you prioritize when social-media-metrics?","what-would-you-prioritize-when-social-media-metrics","Digital Marketing","Digital Marketing","slug-like placeholder topic","MEDIUM","REWRITE","What would you prioritize when working on social media metrics?",""
